benchmark,variant,method,fl,size,alpha,seed,modes,spearman,run_name
7-mols,tb,tb,False,,0.2,4,25.0,0.13808739921785845,m(tb)_a(0.2)_s(4)_v(False)
7-mols,tb,tb,False,,0.8,3,29.0,0.0967803825777218,m(tb)_a(0.8)_s(3)_v(False)
7-mols,tb,tb,False,,0.8,0,39.0,0.31667012989991994,m(tb)_a(0.8)_s(0)_v(False)
7-mols,tb,tb,False,,0.4,1,26.0,0.4252412657950131,m(tb)_a(0.4)_s(1)_v(False)
7-mols,tb,tb,False,,0.2,0,40.0,-0.6588560383159207,m(tb)_a(0.2)_s(0)_v(False)
7-mols,tb,tb,False,,0.3,3,30.0,0.11276894409823668,m(tb)_a(0.3)_s(3)_v(False)
7-mols,tb,tb,False,,0.2,2,27.0,-0.2926802992494479,m(tb)_a(0.2)_s(2)_v(False)
7-mols,tb,tb,False,,0.5,3,34.0,0.5483365481083026,m(tb)_a(0.5)_s(3)_v(False)
7-mols,tb,tb,False,,0.2,3,34.0,-0.3338228808810112,m(tb)_a(0.2)_s(3)_v(False)
7-mols,tb,tb,False,,0.8,1,44.0,0.03206710051660682,m(tb)_a(0.8)_s(1)_v(False)
7-mols,tb,tb,False,,0.5,1,36.0,0.329808899878169,m(tb)_a(0.5)_s(1)_v(False)
7-mols,tb,tb,False,,0.4,0,34.0,0.5092533809398885,m(tb)_a(0.4)_s(0)_v(False)
7-mols,tb,tb,False,,0.7,0,38.0,0.2222320851167435,m(tb)_a(0.7)_s(0)_v(False)
7-mols,tb,tb,False,,0.7,3,38.0,0.19003979716854016,m(tb)_a(0.7)_s(3)_v(False)
7-mols,tb,tb,False,,0.6,2,38.0,0.48026139609475826,m(tb)_a(0.6)_s(2)_v(False)
7-mols,tb,tb,False,,0.5,4,49.0,-0.5717994350620889,m(tb)_a(0.5)_s(4)_v(False)
7-mols,tb,tb,False,,0.4,4,36.0,-0.7220392737795338,m(tb)_a(0.4)_s(4)_v(False)
7-mols,tb,tb,False,,0.7,2,29.0,0.41748244914625265,m(tb)_a(0.7)_s(2)_v(False)
7-mols,tb,tb,False,,0.9,1,32.0,0.2621690722097686,m(tb)_a(0.9)_s(1)_v(False)
7-mols,tb,tb,False,,0.6,0,37.0,0.5947400767553147,m(tb)_a(0.6)_s(0)_v(False)
7-mols,tb,tb,False,,0.9,4,108.0,0.4352199596621644,m(tb)_a(0.9)_s(4)_v(False)
7-mols,tb,tb,False,,0.1,2,22.0,-0.26928740599316503,m(tb)_a(0.1)_s(2)_v(False)
7-mols,tb,tb,False,,0.1,3,18.0,0.1272912932527558,m(tb)_a(0.1)_s(3)_v(False)
7-mols,tb,tb,False,,0.3,2,32.0,0.41190023840173295,m(tb)_a(0.3)_s(2)_v(False)
7-mols,tb,tb,False,,0.3,0,41.0,0.20366380699076875,m(tb)_a(0.3)_s(0)_v(False)
7-mols,tb,tb,False,,0.3,4,34.0,0.38467043676279217,m(tb)_a(0.3)_s(4)_v(False)
7-mols,tb,tb,False,,0.5,0,38.0,0.4903690722315679,m(tb)_a(0.5)_s(0)_v(False)
7-mols,tb,tb,False,,0.6,3,40.0,0.2016389504316616,m(tb)_a(0.6)_s(3)_v(False)
7-mols,tb,tb,False,,0.9,2,38.0,0.34827958114213686,m(tb)_a(0.9)_s(2)_v(False)
7-mols,tb,tb,False,,0.1,0,19.0,0.2423891342778576,m(tb)_a(0.1)_s(0)_v(False)
7-mols,tb,tb,False,,0.9,0,80.0,-0.612910887881619,m(tb)_a(0.9)_s(0)_v(False)
7-mols,tb,tb,False,,0.7,1,40.0,0.44000482184172784,m(tb)_a(0.7)_s(1)_v(False)
7-mols,tb,tb,False,,0.3,1,48.0,-0.5894244864550305,m(tb)_a(0.3)_s(1)_v(False)
7-mols,tb,tb,False,,0.2,1,22.0,-0.4143694724031826,m(tb)_a(0.2)_s(1)_v(False)
7-mols,tb,tb,False,,0.8,4,53.0,0.07260964987260289,m(tb)_a(0.8)_s(4)_v(False)
7-mols,tb,tb,False,,0.9,3,45.0,-0.01663950876829855,m(tb)_a(0.9)_s(3)_v(False)
