method,k,alpha,modes_mean,modes_std,spearman_corr_test_mean,spearman_corr_test_std,mean_top_1000_R_mean,mean_top_1000_R_std
subtb,10,0.8,27.4,8.796463936024395,0.568392412156008,0.0019939966337789695,1.8656440663562836e-14,2.1444659794784965e-14
subtb,10,0.9,27.2,10.031062866028815,0.565356475669748,0.0075863851473135305,2.0145346837388106e-14,2.4151024289275e-14
tb,2,0.1,10.2,1.9235384061671343,0.5450312888128617,0.0013311169481094824,5.122108894352518e-26,9.697443763032494e-26
tb,2,0.2,9.8,4.08656334834051,0.544710713857078,0.0011886364362305734,4.645350751208034e-26,8.695009168137727e-26
tb,2,0.3,10.4,4.09878030638384,0.5448902756029452,0.0006999310049724293,9.507684575665381e-27,9.757986908299846e-27
tb,2,0.4,15.8,12.397580409095962,0.5186035921484349,0.05873518407778399,0.00027146568783616794,0.0006070157315604094
tb,2,0.5,11.4,3.2093613071762426,0.5447175388187728,0.0033162333606558854,5.880684384006917e-26,9.523989134688119e-26
tb,2,0.6,17.4,15.501612819316577,0.34436146482231644,0.22435649640102023,0.0030495849063918745,0.005658072593166888
tb,2,0.7,3.6,1.51657508881031,0.3612325739076138,0.24929716946106922,0.0002876551707051849,0.000423764996438573
tb,2,0.8,3.2,0.8366600265340756,0.5444103931227734,0.0010809996209698285,4.6390960158453696e-26,9.748968075059715e-26
tb,2,0.9,2.4,1.140175425099138,0.5377888642691162,0.013066527047760818,4.641538688032132e-26,9.878607936579596e-26
tb,4,0.1,44.2,2.3874672772626644,0.5788386269354572,0.0005204434191849739,1.650370322618994e-25,1.504034318919948e-25
tb,4,0.2,44.8,3.492849839314597,0.5788371972216796,0.0007991269332080636,2.385183504719523e-25,1.3112404036343365e-25
tb,4,0.3,43.0,2.121320343559643,0.5781747596989304,0.0012752703864995405,2.193324209657708e-25,1.7431025145318146e-25
tb,4,0.4,45.8,3.1144823004794877,0.5781081470061206,0.0005338625288466573,5.016196058688828e-25,6.804613032688431e-25
tb,4,0.5,47.2,2.280350850198276,0.5788856678317819,0.0008374663203523083,2.5022667164194294e-22,3.334333758297491e-22
tb,4,0.6,37.2,10.158740079360236,0.5787499690566755,0.0007701595895689475,7.579474099562027e-15,1.6866997243025388e-14
tb,4,0.7,19.6,5.549774770204643,0.577957048352179,0.0009342664403846426,1.6017370537212875e-22,3.3323313148664916e-22
tb,4,0.8,15.8,3.2710854467592254,0.5783588488797958,0.0013093541643268134,1.7594934048493383e-24,1.4081055306682646e-24
tb,4,0.9,13.2,3.3466401061363023,0.5782601046985876,0.0011590565365989186,3.1262912703335e-25,6.253882403576592e-25
tb,6,0.1,25.8,4.08656334834051,0.5537388548493061,0.002896260262763703,2.3012523854037276e-26,2.1248096397690431e-26
tb,6,0.2,24.6,3.7815340802378077,0.5544905919920413,0.0029875273329215296,3.4410794793040313e-25,6.293306153420408e-25
tb,6,0.3,24.2,1.9235384061671343,0.5577000656275083,0.002390425760404813,5.294526258471596e-26,8.432124076956865e-26
tb,6,0.4,23.8,3.6331804249169903,0.5567809965068269,0.0009187123766922483,3.593507546810482e-25,6.228317921263559e-25
tb,6,0.5,28.6,4.03732584763727,0.5545335672815749,0.0023465752919979966,1.569294563946994e-23,3.474540727663812e-23
tb,6,0.6,24.8,5.357238094391549,0.5546866550342122,0.0013486929828502546,9.599364599686208e-20,2.1464807551131002e-19
tb,6,0.7,16.6,9.762171889492626,0.5539047132260935,0.00248567096898101,1.3337714268475479e-20,2.9823123985564415e-20
tb,6,0.8,12.0,8.54400374531753,0.5563455437303919,0.0024683481436476823,4.535199060247141e-26,8.320857214850795e-26
tb,6,0.9,4.2,1.0954451150103321,0.5530231178225872,0.002328047255256784,4.3924406792867813e-26,8.40890188216371e-26
tb,8,0.1,59.6,0.547722557505166,0.8137886610653926,0.0048780298397659684,9.265622396118714e-22,1.9083716622348195e-21
